Nama Perusahaan;Website
Adaro Energy Tbk.;adaro.com
PT Adaro Minerals Indonesia Tbk;adarominerals.id
Akbar Indo Makmur Stimec Tbk.;aimstimec.co.id
AKR Corporindo Tbk.;akr.co.id
PT Alfa Energi Investama Tbk.;alfacentra.com
Apexindo Pratama Duta Tbk.;apexindo.com
Atlas Resources Tbk.;atlas-coal.co.id
PT Batulicin Nusantara Maritim Tbk.;batulicinnusantaramaritim.com
Bayan Resources Tbk.;bayan.com.sg
Pelayaran Nasional Bina Buana Raya Tbk.;bbr.co.id
Benakat Petroleum Energy Tbk.;benakat.co.id
PT Borneo Olah Sarana Sukses Tbk;bosscoal.com
PT Bintang Samudera Mandiri Lines Tbk;bsmlines.com
Baramulti Sukses Sarana Tbk.;bssr.co.id
Buana Listya Tama Tbk.;bull.co.id
Bumi Resources Tbk.;bumiresources.com
Capitol Nusantara Indonesia Tbk.;cani.co.id
Capitalinc Investment Tbk.;capitalinc.co.id
Exploitasi Energy Indonesia Tbk.;cenko.com
Dian Swastatika Sentosa Tbk.;dss.co.id
PT Dwi Guna Laksana Tbk.;dwigunalaksana.co.id
Elnusa Tbk.;elnusa.co.id
Energi Mega Persada Tbk.;energi-mp.com
PT Ginting Jaya Energi Tbk;gj-energi.co.id
Golden Energy Mines Tbk.;goldenenergymines.com
PT GTS Internasional Tbk;gtsi.co.id
Humpuss Intermoda Transportasi Tbk.;humpussintermoda.co.id
Indika Energy Tbk.;indikaenergy.com
Indo Straits Tbk.;indostraits.co.id
PT Indah Prakasa Sentosa Tbk.;inprasegroup.co.id
Sumber Energi Andalan Tbk.;itamaraya.co.id
Indo Tambangraya Megah Tbk.;itmg.co.id
Logindo Samudramakmur Tbk.;logindo.com
PT Prima Andalan Mandiri Tbk;mandiricoal.co.id
Mitrabahtera Segara Sejati Tbk.;mbss.co.id
Medco Energi Internasional Tbk.;medcoenergi.com
Samindo Resources Tbk.;myohtech.net
Petrosea Tbk.;petrosea.com
Perusahaan Gas Negara (Persero) Tbk.;pgn.co.id
Perdana Karya Perkasa Tbk.;pkpk-tbk.com
Tambang Batubara Bukit Asam (Persero) Tbk.;ptba.co.id
Darma Henwa Tbk.;ptdh.co.id
PT Pelita Samudera Shipping Tbk.;ptpss.co.id
Radiant Utama Interinsco Tbk.;radiant.co.id
Rukun Raharja Tbk.;raja.co.id
Rig Tenders Indonesia Tbk.;rigtenders.co.id
PT RMK Energy Tbk;rmkenergy.com
Ratu Prabu Energi Tbk.;rpenergi.com
PT Sillo Maritime Perdana Tbk;sillomaritime.com
PT Sigma Energy Compressindo Tbk;sinerco.co.id
Soechi Lines Tbk.;soechi.com
Sugih Energy Tbk.;sugihenergy.com
PT Sumber Global Energy Tbk.;sumberglobalenergy.co.id
PT Super Energy Tbk.;superenergi.com
PT Pelayaran Tamarin Samudra Tbk.;tamarin.co.id
PT Dana Brata Luhur Tbk.;tebe.co.id
Trada Maritime Tbk.;trada.co.id
PT Transcoal Pacific Tbk.;transcoalpacific.com
PT Ulima Nitra Tbk;ulimanitra.co.id
